elapsed_time,num_reqs,num_reqs_per_sec,min_req_time,max_req_time,avg_req_time,200,error_no_http_status
390,259,25.9,6915.218,11217.398,9239.1047,259,
400,298,29.8,11186.232,15190.34,12806.6375,298,
410,302,30.2,14514.626,18229.093,16419.6629,302,
420,330,33.0,18206.064,20845.763,19729.6641,330,
430,368,36.8,20827.241,24439.298,22072.6123,368,
440,364,36.4,23629.028,26690.316,24615.3856,364,
450,306,30.6,25870.576,29054.451,27068.1869,306,
460,189,18.9,29101.0,33996.883,31559.1216,189,
470,201,20.1,34052.361,38682.252,36258.9683,201,
480,197,19.7,38515.869,43201.193,40883.6176,197,
490,192,19.2,43234.85,47824.998,45509.7879,192,
500,219,21.9,47792.137,51202.519,49970.4014,219,
510,264,26.4,46625.262,50778.136,48482.3201,264,
520,260,26.0,43504.564,49612.801,45261.5507,260,
530,256,25.6,40346.144,44558.75,42109.1435,256,
540,261,26.1,38511.009,40759.721,39048.9104,261,
550,258,25.8,38086.297,39896.473,38818.4459,258,
560,254,25.4,38187.829,40225.471,39058.2397,254,
570,250,25.0,38943.904,40159.714,39199.8901,250,
580,240,24.0,39396.01,41176.097,39875.1655,240,
590,236,23.6,40172.924,41865.775,40596.8329,236,
600,241,24.1,40903.198,42405.206,41299.8205,241,
610,237,23.7,41445.134,43068.83,41889.3011,237,
620,243,24.3,41882.846,43186.253,42040.3552,243,
630,241,24.1,41525.421,42949.22,41896.6967,241,
640,234,23.4,41761.934,43078.053,42074.0769,234,
650,244,24.4,41709.616,43004.997,41980.7439,244,
660,236,23.6,41783.753,43208.253,42068.4885,236,
670,235,23.5,42047.142,43336.463,42236.6162,235,
680,192,19.2,42473.332,44083.213,43133.6001,192,
690,181,18.1,44085.458,47057.548,45394.8976,181,
700,175,17.5,46649.087,49471.498,48066.156,175,
710,177,17.7,49467.082,52819.276,50749.4789,177,
720,174,17.4,51921.646,54695.6,53308.0067,174,
730,168,16.8,54759.935,58014.169,56077.5815,168,
740,168,16.8,57233.161,58342.813,57614.4649,168,
750,166,16.6,57852.432,59799.253,58411.2621,166,
760,162,16.2,58776.807,60407.468,59178.0751,162,
770,155,15.5,59484.84,60977.103,59840.5996,155,
780,1,0.1,60050.885,60050.885,60050.885,,1
790,38,3.8,59778.725,60919.573,60001.4084,32,6
800,168,16.8,59716.571,60934.365,59900.0333,168,
810,172,17.2,59420.487,60896.088,59779.6393,172,
820,163,16.3,59389.674,60571.025,59521.2703,163,
830,162,16.2,59425.748,60864.713,59648.8337,162,
840,183,18.3,59232.537,61052.718,59755.0064,183,
850,195,19.5,57852.001,60138.537,58576.9753,195,
860,197,19.7,56172.106,58803.52,57112.738,197,
870,200,20.0,54395.01,56683.218,55405.9115,200,
880,167,16.7,53849.822,55025.058,54069.5868,167,
890,160,16.0,53814.816,55456.386,54158.27,160,
900,161,16.1,54467.496,56697.048,55370.4068,161,
910,164,16.4,56240.612,58206.535,57025.3897,164,
920,156,15.6,57784.368,60808.917,58834.9816,156,
930,15,1.5,59894.389,60069.14,60007.7999,11,4
940,1,0.1,60053.683,60053.683,60053.683,,1
950,1,0.1,60040.535,60040.535,60040.535,,1
960,1,0.1,60043.856,60043.856,60043.856,,1
970,1,0.1,60044.09,60044.09,60044.09,,1
980,1,0.1,60041.706,60041.706,60041.706,,1
990,1,0.1,60047.283,60047.283,60047.283,,1
1000,1,0.1,60044.951,60044.951,60044.951,,1
1010,1,0.1,60048.336,60048.336,60048.336,,1
1020,1,0.1,60045.756,60045.756,60045.756,,1
1030,1,0.1,60087.847,60087.847,60087.847,1,
1040,1,0.1,60049.316,60049.316,60049.316,,1
1050,1,0.1,60043.735,60043.735,60043.735,,1
1060,1,0.1,60068.216,60068.216,60068.216,1,
1070,1,0.1,60053.511,60053.511,60053.511,,1
1080,1,0.1,60047.668,60047.668,60047.668,,1
1090,1,0.1,60046.307,60046.307,60046.307,,1
1100,1,0.1,60056.306,60056.306,60056.306,,1
1110,1,0.1,60081.774,60081.774,60081.774,1,
1120,1,0.1,60046.586,60046.586,60046.586,,1
1130,1,0.1,60075.737,60075.737,60075.737,1,
1140,1,0.1,60061.63,60061.63,60061.63,,1
1150,1,0.1,60067.781,60067.781,60067.781,1,
1160,1,0.1,60068.611,60068.611,60068.611,1,
1170,1,0.1,60046.554,60046.554,60046.554,1,
1180,1,0.1,60069.083,60069.083,60069.083,1,
1190,1,0.1,60083.822,60083.822,60083.822,1,
1200,1,0.1,60072.66,60072.66,60072.66,1,
1210,1,0.1,60085.439,60085.439,60085.439,1,
1220,1,0.1,60067.472,60067.472,60067.472,1,
1230,1,0.1,60076.99,60076.99,60076.99,1,
1240,1,0.1,60072.158,60072.158,60072.158,1,
1250,1,0.1,60071.066,60071.066,60071.066,1,
1260,1,0.1,60079.263,60079.263,60079.263,1,
1270,1,0.1,60063.641,60063.641,60063.641,1,
1280,1,0.1,60064.443,60064.443,60064.443,1,
1290,1,0.1,60071.314,60071.314,60071.314,1,
1300,1,0.1,60117.537,60117.537,60117.537,,1
1310,1,0.1,60065.08,60065.08,60065.08,1,
1320,1,0.1,60046.109,60046.109,60046.109,1,
1330,1,0.1,60057.315,60057.315,60057.315,1,
1340,1,0.1,60075.332,60075.332,60075.332,1,
1350,1,0.1,60064.251,60064.251,60064.251,1,
1360,1,0.1,60048.241,60048.241,60048.241,1,
1370,1,0.1,60046.359,60046.359,60046.359,,1
1380,1,0.1,60053.631,60053.631,60053.631,1,
1390,1,0.1,60078.204,60078.204,60078.204,1,
1400,1,0.1,60062.882,60062.882,60062.882,1,
1410,1,0.1,60049.184,60049.184,60049.184,1,
1420,1,0.1,60053.946,60053.946,60053.946,1,
1430,1,0.1,60058.746,60058.746,60058.746,1,
1440,1,0.1,60047.886,60047.886,60047.886,1,
1450,1,0.1,60038.452,60038.452,60038.452,1,
1460,1,0.1,60050.248,60050.248,60050.248,1,
1470,1,0.1,60038.247,60038.247,60038.247,1,
1480,1,0.1,60034.21,60034.21,60034.21,1,
1490,1,0.1,60020.483,60020.483,60020.483,1,
1500,1,0.1,60031.981,60031.981,60031.981,1,
1510,1,0.1,60036.758,60036.758,60036.758,1,
1520,1,0.1,60030.969,60030.969,60030.969,1,
1530,1,0.1,60081.767,60081.767,60081.767,1,
1540,1,0.1,60047.105,60047.105,60047.105,,1
1550,1,0.1,60041.412,60041.412,60041.412,,1
1560,1,0.1,60058.962,60058.962,60058.962,,1
1570,1,0.1,60071.322,60071.322,60071.322,1,
1580,1,0.1,60074.59,60074.59,60074.59,1,
1590,1,0.1,60061.418,60061.418,60061.418,1,
1600,1,0.1,60068.166,60068.166,60068.166,1,
1610,1,0.1,60088.985,60088.985,60088.985,1,
1620,1,0.1,60057.473,60057.473,60057.473,1,
1630,1,0.1,60054.265,60054.265,60054.265,1,
1640,1,0.1,60030.569,60030.569,60030.569,1,
1650,1,0.1,60044.494,60044.494,60044.494,1,
1660,1,0.1,60072.43,60072.43,60072.43,1,
1670,1,0.1,60043.552,60043.552,60043.552,1,
1680,1,0.1,60041.985,60041.985,60041.985,1,
1690,1,0.1,60037.94,60037.94,60037.94,1,
1700,1,0.1,60038.688,60038.688,60038.688,1,
1710,1,0.1,60038.169,60038.169,60038.169,1,
1720,1,0.1,60042.024,60042.024,60042.024,1,
1730,1,0.1,60027.975,60027.975,60027.975,1,
1740,1,0.1,60036.337,60036.337,60036.337,1,
1750,1,0.1,60026.802,60026.802,60026.802,1,
1760,1,0.1,60022.275,60022.275,60022.275,1,
1770,1,0.1,60010.608,60010.608,60010.608,1,
1780,1,0.1,60020.118,60020.118,60020.118,1,
1790,1,0.1,60020.805,60020.805,60020.805,1,
1800,1,0.1,60011.658,60011.658,60011.658,1,
1810,1,0.1,60022.738,60022.738,60022.738,1,
1820,1,0.1,60018.621,60018.621,60018.621,1,
1830,1,0.1,60031.622,60031.622,60031.622,1,
1840,1,0.1,60027.795,60027.795,60027.795,1,
1850,77,7.7,59936.181,60059.876,59985.0373,77,
1860,124,12.4,59951.763,60078.499,60034.1958,73,51
1870,108,10.8,60017.106,60091.876,60054.1349,66,42
1880,173,17.3,59784.079,60091.419,59964.1347,150,23
1890,167,16.7,59701.83,59982.699,59863.645,167,
1900,165,16.5,59658.36,60090.761,59952.0561,165,
1910,167,16.7,59584.956,60825.062,59751.1546,167,
1920,75,7.5,47000.025,59726.109,57941.0342,75,
